fold,val_start,val_end,n_val,naive_RMSE,naive_MAE,naive_MAPE,naive_WAPE,snaive7_RMSE,snaive7_MAE,snaive7_MAPE,snaive7_WAPE,snaive14_RMSE,snaive14_MAE,snaive14_MAPE,snaive14_WAPE,snaive_best,snaive_best_RMSE
1,2018-03-15,2018-03-21,7,320967.5544271887,287979.07999999926,0.8644474189515537,0.008647873309744664,220030.96189616676,201052.1414285712,0.604067475047705,0.006037499139615122,284168.9386356599,237127.68142857242,0.7111899575749733,0.007120830260405693,snaive7,220030.96189616676
2,2018-03-22,2018-03-28,7,249955.06080497708,206266.72428571485,0.6197309566735874,0.006202137101994831,265533.8359833653,197270.0299999996,0.5926491697819122,0.005931619733679771,259138.4663992878,242864.94285714306,0.7294622922395073,0.007302591719940646,snaive14,259138.4663992878
3,2018-03-29,2018-04-04,7,169212.9336377424,150400.47142857153,0.4508158469201309,0.004504943789579169,238390.08849268884,171081.18571428634,0.5109529165600184,0.005124393014043459,287910.20670411544,235664.13000000003,0.7055686454953615,0.007058845286760159,snaive7,238390.08849268884
4,2018-04-05,2018-04-11,7,166779.13006987143,142382.55571428686,0.43002670467876614,0.004294206352495207,331485.5645446904,255088.5742857153,0.771452310632828,0.007693379084617385,188112.17816346508,147410.77714285735,0.44495820264067776,0.004445855691081656,snaive14,188112.17816346508
5,2018-04-12,2018-04-18,7,144612.31969989292,112717.76857142895,0.3391017478999343,0.0033920170824137726,185919.06959305223,154562.04285714295,0.4640574675232855,0.004651237300993637,231089.52140032695,190553.80285714354,0.5742320360762123,0.0057343377410877285,snaive7,185919.06959305223
6,2018-04-19,2018-04-25,7,289485.56984988885,249066.27142857015,0.7500483439814122,0.007501450718640317,239854.1648780907,208587.92999999863,0.6288352652993349,0.006282312207202775,280516.8976543012,245942.20428571265,0.7411816848426676,0.007407359151847862,snaive7,239854.1648780907
